a_term	b_term	len(a_b_intersect)	len(a_term_set)	len(b_term_set)	n_articles	pmid_intersection	pvalue	run_time	sort_ratio
sstr3	ghrh	7	314	3505	33810017	{18777506, 8704739, 30633923, 11514055, 29407222, 12807513, 17038558}	6.94474870633905e-15	0.001843396108597517	0.0019971469329529245
lin7c	bdnf	6	22	23257	33810017	{31354816, 21567907, 20215397, 27647760, 18543122, 35100979}	7.82505774864172e-15	0.021891633979976177	0.00025798684267102376
pstpip2	nlrp3	6	47	10642	33810017	{25274309, 27106250, 31719149, 27071119, 29912021, 24395802}	1.0312402714336078e-14	0.010721561964601278	0.0005638037962788949
ifngr1	stat4	6	368	1514	33810017	{22578563, 35071044, 29455109, 27511303, 26242990, 15778901}	2.6069263904899122e-14	0.0016478749457746744	0.003963011889035667
arid1a	raf1	7	1289	1073	33810017	{28524162, 32139107, 31412004, 30051528, 29487225, 26275293, 26182302}	3.5420941550464006e-14	0.0017957529053092003	0.0065237651444548
tgfbr3	cav1	6	258	2820	33810017	{26690118, 35011815, 31443152, 22761751, 26383992, 30834271}	1.2707474474770078e-13	0.001883283955976367	0.002127659574468085
tubb3	mc1r	6	503	1524	33810017	{26657157, 25396269, 26677074, 20465587, 29316344, 21071418}	1.77881030496924e-13	0.0017573521472513676	0.003937007874015748
hoxa1	ezh2	7	355	5088	33810017	{32284737, 35018436, 30596070, 30376874, 17525233, 33230449, 24040281}	2.208870372237258e-13	0.0029593859799206257	0.0013757861635220125
vldlr	vegfa	7	570	3977	33810017	{26974308, 23978600, 26910538, 22373451, 22355348, 32437334, 28465464}	1.0934469326456052e-12	0.0019251990597695112	0.001760120693990445
ralgds	nf1	6	243	6416	33810017	{8625316, 7630628, 7935463, 8626511, 32499600, 8643674}	1.2046744986717616e-11	0.003026094986125827	0.0009351620947630922
ca7	ca1	6	63	28340	33810017	{34651296, 22686281, 1906795, 29890030, 1474609, 32541653}	2.2608779444198806e-11	0.020095791900530457	0.0002117148906139732
mertk	fgfr3	6	672	2606	33810017	{27834816, 27231203, 35071781, 21521745, 29654068, 27865593}	2.4956180281324723e-11	0.0018721511587500572	0.0023023791250959325
pcna	rpe	33	16701	16288	33810017	{7832067, 31462148, 30795011, 17936264, 12579722, 29569173, 8082839, 24251032, 31933849, 32211097, 28970011, 33158043, 9754018, 17162914, 7688361, 1676970, 14971566, 20398392, 16850757, 31966666, 15763275, 25098704, 17120729, 12971995, 21330654, 21657828, 12356843, 18843376, 14977524, 22633972, 29259898, 11792380, 15029501}	3.55561191212629e-11	0.023105015978217125	0.002026031434184676
erap2	hla-a	6	182	10858	33810017	{32184355, 26088389, 29769354, 30425713, 24957906, 33348540}	4.847769180477329e-11	0.004023047862574458	0.0005525879535826119
hrc	maf	6	652	3785	33810017	{31001313, 28861891, 32002535, 34041609, 29855708, 29581887}	1.9216410507581617e-10	0.002182336989790201	0.001585204755614267
cd7	dnmt3a	8	2421	3391	33810017	{31331874, 34238278, 21518476, 29254227, 35123604, 29079128, 28823257, 33243739}	2.3713382761132965e-10	0.002479732967913151	0.0023591860808021233
snap29	mb	7	112	67071	33810017	{31666243, 19239688, 34487529, 29094413, 22796526, 33824538, 22926078}	3.6495026970115547e-09	0.04396959999576211	0.00010436701405972775
fscn1	myc	7	185	40376	33810017	{26036261, 31213128, 33397549, 33853613, 23489501, 33000273, 22929309}	3.771545981412061e-09	0.030521057080477476	0.00017337031900138697
fus	fev	10	3440	7408	33810017	{18648544, 29480450, 17620387, 30257034, 31756779, 25534668, 21458383, 26690869, 19737655, 32362012}	8.101454552624359e-09	0.004171073902398348	0.0013498920086393088
slc4a2	camp	6	83	88747	33810017	{28455748, 23215877, 16773707, 18319251, 22802585, 21474426}	1.0381284230011088e-07	0.06095100077800453	6.760791914092871e-05
cap1	tlr4	6	366	22548	33810017	{31099269, 30317640, 35195916, 29866514, 33248946, 32827511}	2.2938841580973492e-07	0.019010663963854313	0.00026609898882384245
pin1	rho	12	1696	40836	33810017	{17241154, 21477123, 31324164, 22683261, 33494375, 22145096, 30615307, 23163883, 22509133, 25560878, 25168157, 20179103}	1.6920987032405615e-06	0.027845477918162942	0.0002938583602703497
chl1	jun	6	333	35112	33810017	{10972939, 10996461, 12925005, 10022583, 20688153, 14707551}	1.6977645871381894e-06	0.02131033386103809	0.00017088174982911826
oscar	stat3	7	1043	26948	33810017	{30511368, 27447722, 22985931, 26255791, 28605877, 26792726, 17442941}	2.5994713065812525e-05	0.02165591693483293	0.0002597595368858542
smad1	pten	9	2741	18788	33810017	{28923783, 23599148, 24376781, 26746235, 27186261, 30881496, 26918939, 19713852, 33614622}	3.086745382683539e-05	0.015532487072050571	0.0004790291675537577
